MATERIAL INFORMATION	
	Material = Hydroxyapatite (powder)
SAXS INSTRUMENT	
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 500 s

===============================================================	
q (A^-1)	I(q)
===============================================================
0.340487	0.0033318
0.341713	0.00514512
0.34294		0.00450576
0.344166	0.00225396
0.345393	0.00489888
0.346619	0.00730944
0.347846	0.00440424
0.349072	-0.00181548
0.350298	0.00377676
0.351525	-0.00034236
0.352751	0.00547776
0.353978	0.00472932
0.355204	0.0053946
0.35643		0.00407376
0.357657	0.00679536
0.358883	0.00546048
0.36011		0.00408888
0.361336	0.00401328
0.362562	0.0032508
0.363789	0.00336204
0.365015	0.00347112
0.366241	0.00484056
0.367468	0.00225396
0.368694	0.00262224
0.36992		0.00160704
0.371146	0.00450792
0.372373	0.00324216
0.373599	0.00332532
0.374825	0.00311256
0.376051	0.00333828
0.377278	0.0036936
0.378504	0.00385668
0.37973		0.0034776
0.380956	0.00221076
0.382182	0.00223344
0.383409	-0.00010368
0.384635	0.00271512
0.385861	0.00033048
0.387087	0.00073332
0.388313	0.00590868
0.38954		0.00393984
0.390766	0.00332856
0.391992	-0.0018684
0.393218	0.0038394
0.394444	0.00463212
0.39567		0.00314928
0.396896	0.00534924
0.398122	0.00536652
0.399348	0.006723
0.400574	0.0055404
0.4018		0.00435456
0.403027	0.0017604
0.404253	0.00377568
0.405479	0.00263412
0.406705	0.00472392
0.407931	0.0038664
0.409157	0.00382212
0.410383	0.00485676
0.411609	0.0038016
0.412835	0.00366984
0.414061	0.003591
0.415287	0.00297432
0.416512	0.00467748
0.417738	0.00267084
0.418964	0.00471744
0.42019		0.00466668
0.421416	0.00472068
0.422642	0.00476712
0.423868	0.00307584
0.425094	0.00358128
0.42632		0.00151524
0.427546	0.00316224
0.428771	0.00186732
0.429997	0.00289764
0.431223	0.0028512
0.432449	0.00400356
0.433675	0.00587304
0.434901	0.00619272
0.436126	0.00411048
0.437352	0.00362556
0.438578	0.001809
0.439804	0.00554688
0.441029	0.00393228
0.442255	0.00760968
0.443481	0.00273564
0.444707	0.00329508
0.445932	0.00331452
0.447158	0.00420336
0.448384	-0.00296352
0.449609	0.00317304
0.450835	0.00236088
0.452061	0.00150876
0.453286	0.00097092
0.454512	0.00186732
0.455738	0.00356184
0.456963	0.0029322
0.458189	0.00335448
0.459415	0.00462348
0.46064		0.00591948
0.461866	0.00363204
0.463091	0.00270432
0.464317	0.00243648
0.465542	0.00265032
0.466768	0.00273888
0.467993	0.00274968
0.469219	0.00343116
0.470444	0.00489348
0.47167		0.00552096
0.472895	0.00327888
0.474121	0.00495504
0.475346	0.00384372
0.476572	0.00272376
0.477797	0.00225288
0.479023	0.00307476
0.480248	0.00209952
0.481474	0.00223668
0.482699	0.00365796
0.483924	0.00248832
0.48515		0.00371952
0.486375	0.00277668
0.4876		0.00427896
0.488826	0.00322056
0.490051	0.005022
0.491276	0.0022086
0.492502	0.0028836
0.493727	0.00086184
0.494952	0.0007776
0.496178	0.00154332
0.497403	0.00365688
0.498628	0.00632448
0.499853	0.00523044
0.501078	0.0038718
0.502304	0.00216108
0.503529	0.003267
0.504754	0.00351756
0.505979	0.00305424
0.507205	0.00242244
0.50843		0.00241056
0.509655	0.0050328
0.51088		0.00320436
0.512105	0.0025596
0.51333		0.00223884
0.514555	0.00272808
0.51578		0.0035262
0.517006	0.00368496
0.518231	0.00374436
0.519456	0.00238896
0.520681	0.00273888
0.521906	0.00191268
0.523131	0.00218592
0.524356	0.00233388
0.525581	0.00196128
0.526806	0.00297108
0.528031	0.00434592
0.529256	0.00236844
0.530481	0.00378432
0.531705	0.00357264
0.53293		0.00369252
0.534155	0.00180684
0.53538		0.00142884
0.536605	0.00330264
0.53783		0.00271404
0.539055	0.00310824
0.54028		0.00306936
0.541505	0.00383832
0.542729	0.00515484
0.543954	0.00193428
0.545179	0.00466776
0.546404	0.0019656
0.547629	0.00126144
0.548853	0.00087912
0.550078	0.00220752
0.551303	0.00251748
0.552528	-0.00311688
0.553752	0.00301644
0.554977	0.00273888
0.556202	0.00305748
0.557426	0.00886896
0.558651	0.00183384
0.559876	0.00306396
0.5611		0.00224748
0.562325	0.00283284
0.56355		0.0028404
0.564774	0.0025434
0.565999	0.0041958
0.567223	0.00165996
0.568448	0.00281664
0.569673	0.00296352
0.570897	0.0115506
0.572122	0.00513972
0.573346	0.00477792
0.574571	0.00224208
0.575795	-0.003672
0.57702		0.00237924
0.578244	0.00066528
0.579469	0.00186624
0.580693	0.00150012
0.581917	0.00303696
0.583142	0.00333504
0.584366	0.001485
0.585591	0.00416988
0.586815	0.00409212
0.588039	0.00528336
0.589264	0.00354456
0.590488	0.00096228
0.591712	0.00281232
0.592936	0.00171504
0.594161	0.00112644
0.595385	0.0009558
0.596609	0.00249696
0.597834	0.0004752
0.599058	0.00180576
0.600282	0.00356292
0.601506	0.0028458
0.60273		0.00266652
0.603955	0.00292572
0.605179	0.00310284
0.606403	0.00252612
0.607627	0.00095904
0.608851	0.00131652
0.610075	0.00119988
0.611299	0.00178308
0.612524	0.00105732
0.613748	0.00802224
0.614972	0.0024462
0.616196	0.00165132
0.61742		0.00103896
0.618644	0.0023004
0.619868	0.0009342
0.621092	0.00280908
0.622316	0.00363528
0.62354		0.00375084
0.624764	0.00405648
0.625988	0.00343656
0.627211	0.00301104
0.628435	0.0018684
0.629659	0.00117288
0.630883	0.00253692
0.632107	0.0012258
0.633331	0.00014256
0.634555	0.00251316
0.635778	0.00116424
0.637002	0.00107352
0.638226	0.00196452
0.63945		0.00334908
0.640674	0.0008532
0.641897	0.00226908
0.643121	0.0033048
0.644345	0.00330912
0.645568	0.00151524
0.646792	0.0007506
0.648016	0.00296028
0.649239	0.00312984
0.650463	0.00347976
0.651687	0.00139644
0.65291		0.0020952
0.654134	0.00136728
0.655357	0.00215568
0.656581	0.0006912
0.657805	0.0017712
0.659028	0.00222372
0.660252	0.00164376
0.661475	0.00342036
0.662699	0.00092772
0.663922	0.00034452
0.665146	0.00274752
0.666369	0.00081648
0.667592	0.00121068
0.668816	0.00134784
0.670039	0.0019494
0.671263	0.00218268
0.672486	0.00834516
0.673709	0.00306936
0.674933	0.0027054
0.676156	0.00286416
0.677379	0.00224208
0.678603	0.00111132
0.679826	0.00246564
0.681049	0.003186
0.682272	0.00208332
0.683496	0.00320004
0.684719	0.00232416
0.685942	0.00277992
0.687165	0.00179496
0.688388	0.0031968
0.689612	0.004158
0.690835	0.00437832
0.692058	-0.00308448
0.693281	0.00237384
0.694504	0.00133056
0.695727	0.0009504
0.69695		0.00114264
0.698173	0.00312984
0.699396	0.00229824
0.700619	0.0016632
0.701842	0.00335016
0.703065	0.00398412
0.704288	0.0036018
0.705511	0.00500364
0.706734	0.0042714
0.707957	0.0023328
0.70918		0.00434268
0.710403	0.00507384
0.711626	0.00310176
0.712848	0.00216972
0.714071	0.00335988
0.715294	0.0031968
0.716517	0.0042498
0.71774		0.00228636
0.718962	0.00171396
0.720185	0.0021654
0.721408	0.00048816
0.722631	0.00158976
0.723853	0.00263196
0.725076	0.00215244
0.726299	0.00245484
0.727521	0.00208764
0.728744	0.00271512
0.729967	0.00312228
0.731189	0.0032562
0.732412	-0.0038988
0.733634	0.00155844
0.734857	0.00245052
0.73608		0.00187596
0.737302	0.00194616
0.738525	0.00378108
0.739747	0.00238356
0.74097		0.0039528
0.742192	0.00435996
0.743414	0.00369576
0.744637	0.00375084
0.745859	0.00392904
0.747082	0.00256824
0.748304	0.0047574
0.749526	0.00442584
0.750749	0.00513
0.751971	0.00422928
0.753193	0.00610632
0.754416	0.00701784
0.755638	0.00651996
0.75686		0.0100634
0.758082	0.0101293
0.759305	0.0126058
0.760527	0.0132278
0.761749	0.014108
0.762971	0.0134147
0.764193	0.0143694
0.765415	0.0147517
0.766637	0.0160142
0.767859	0.0172109
0.769082	0.0175219
0.770304	0.0172865
0.771526	0.016619
0.772748	0.0135022
0.77397		0.0137657
0.775192	0.0200837
0.776414	0.0115668
0.777636	0.0102632
0.778858	0.0083592
0.78008		0.00834192
0.781301	0.0070038
0.782523	0.00516672
0.783745	0.00450144
0.784967	0.00503064
0.786189	0.0058266
0.787411	0.00413316
0.788633	0.00380592
0.789854	0.00425628
0.791076	0.0031482
0.792298	0.00222156
0.79352		-0.00297216
0.794741	0.00337284
0.795963	0.00391932
0.797185	0.00412236
0.798406	0.00180036
0.799628	0.00268488
0.800849	0.00681696
0.802071	0.00325296
0.803293	0.00296892
