MATERIAL INFORMATION	
	Material = PMMA
	Thickness = 1 mm
SAXS INSTRUMENT	
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 60 s

===============================================================	
q (A^-1)	I(q)
===============================================================
1.44532	0.118661
1.45025	0.117499
1.45518	0.112754
1.46011	0.11715
1.46504	0.117521
1.46997	0.103174
1.4749	0.1061
1.47983	0.101028
1.48476	0.103153
1.48968	0.10136
1.49461	0.10075
1.49954	0.101193
1.50446	0.0975843
1.50939	0.0985085
1.51431	0.0937367
1.51924	0.0920728
1.52416	0.0909709
1.52908	0.0921794
1.53401	0.0883693
1.53893	0.0878742
1.54385	0.0872472
1.54877	0.0841795
1.55369	0.0841131
1.55861	0.0799987
1.56353	0.0818206
1.56845	0.0771716
1.57336	0.0772281
1.57828	0.0755989
1.5832	0.0744644
1.58811	0.0729957
1.59303	0.0707722
1.59794	0.0702653
1.60286	0.07054
1.60777	0.0680707
1.61268	0.0678608
1.6176	0.0675655
1.62251	0.0627809
1.62742	0.0651488
1.63233	0.0598576
1.63724	0.0614306
1.64215	0.0666893
1.64705	0.0617339
1.65196	0.0603058
1.65687	0.058519
1.66178	0.0581156
1.66668	0.0577398
1.67159	0.0592192
1.67649	0.0605656
1.6814	0.0607909
1.6863	0.0585208
1.6912	0.0584094
1.6961	0.055152
1.701	0.0508782
1.70591	0.0502082
1.7108	0.0502457
1.71571	0.0460672
1.7206	0.0474775
1.7255	0.0458424
1.7304	0.0423495
1.7353	0.0458675
1.74019	0.0460882
1.74509	0.0478848
1.74998	0.0499944
1.75488	0.0467023
1.75977	0.0516277
1.76466	0.0490047
1.76955	0.0457863
1.77445	0.0503776
1.77934	0.0487491
1.78423	0.0527122
1.78912	0.0510243
1.794	0.0483083
1.79889	0.046549
1.80378	0.0447995
1.80867	0.0404349
1.81355	0.0382966
1.81844	0.0400027
1.82332	0.0308941
1.8282	0.0241983
1.83309	0.0300665
