MATERIAL INFORMATION	
	Material = VeroClear
	Thickness = 1 mm
SAXS INSTRUMENT	
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 60 s

===============================================================	
q (A^-1)	I(q)
===============================================================
1.42065	0.252139
1.42558	0.248773
1.43052	0.25098
1.43545	0.243545
1.44038	0.232246
1.44532	0.23372
1.45025	0.230598
1.45518	0.226582
1.46011	0.230199
1.46504	0.229155
1.46997	0.210789
1.4749	0.213221
1.47983	0.209322
1.48476	0.209627
1.48968	0.208772
1.49461	0.200243
1.49954	0.205828
1.50446	0.200178
1.50939	0.195992
1.51431	0.196812
1.51924	0.185873
1.52416	0.182457
1.52908	0.183234
1.53401	0.180432
1.53893	0.179183
1.54385	0.176965
1.54877	0.169395
1.55369	0.167389
1.55861	0.16905
1.56353	0.167544
1.56845	0.166477
1.57336	0.160257
1.57828	0.155889
1.5832	0.153759
1.58811	0.15099
1.59303	0.151417
1.59794	0.145616
1.60286	0.146683
1.60777	0.141653
1.61268	0.137899
1.6176	0.137356
1.62251	0.133199
1.62742	0.135092
1.63233	0.129642
1.63724	0.12833
1.64215	0.130622
1.64705	0.124906
1.65196	0.122216
1.65687	0.118895
1.66178	0.118054
1.66668	0.119631
1.67159	0.116026
1.67649	0.118767
1.6814	0.116741
1.6863	0.111206
1.6912	0.110093
1.6961	0.106024
1.701	0.104324
1.70591	0.0983795
1.7108	0.0973519
1.71571	0.0938265
1.7206	0.0921618
1.7255	0.0901907
1.7304	0.0836419
1.7353	0.0873818
1.74019	0.0863979
1.74509	0.0849928
1.74998	0.0868805
1.75488	0.0839181
1.75977	0.0872902
1.76466	0.0833295
1.76955	0.080707
1.77445	0.0815514
1.77934	0.0798468
1.78423	0.0807667
1.78912	0.0766315
1.794	0.0737634
1.79889	0.0710658
1.80378	0.0671226
1.80867	0.0629166
1.81355	0.059339
1.81844	0.0599547
1.82332	0.0517971
1.8282	0.0436494
1.83309	0.0460053
