MATERIAL INFORMATION
	Material = 33% iodine on King Arthur parchment
	Thickness = 0.006 mm
SAXS INSTRUMENT
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 500 s

===============================================================
q (A^-1)	I(q)
===============================================================
0.357386	0.180301
0.358623	0.306085
0.359861	0.251355
0.361098	0.144638
0.362335	0.00541524
0.363573	-0.043889
0.36481	-0.0479267
0.366047	-0.554209
0.367285	-0.102742
0.368522	0.256416
0.369759	0.0492796
0.370996	0.055924
0.372234	-0.0275558
0.373471	0.106152
0.374708	0.0596509
0.375945	0.00688623
0.377183	0.00790405
0.37842	0.0350491
0.379657	0.0667666
0.380894	0.0397756
0.382131	-0.0340515
0.383369	-0.303065
0.384606	-0.0984174
0.385843	0.0578056
0.38708	0.0325693
0.388317	0.155248
0.389554	0.150491
0.390791	0.0248717
0.392028	0.0204161
0.393265	0.105177
0.394503	0.0286285
0.39574	0.11449
0.396977	-0.070792
0.398214	-0.105312
0.399451	-0.287191
0.400688	-0.177427
0.401925	-0.319473
0.403162	-0.172215
0.404399	0.058256
0.405636	0.0635354
0.406873	0.0749301
0.40811	-0.0561745
0.409347	0.560195
0.410584	0.120208
0.411821	0.125361
0.413058	-0.0207509
0.414295	-0.0278938
0.415532	-0.0519038
0.416769	-0.116293
0.418006	-0.025725
0.419243	0.0712793
0.42048	0.162375
0.421716	0.0886476
0.422953	0.183655
0.42419	0.0844285
0.425427	-0.00641438
0.426664	0.0645714
0.427901	0.0434998
0.429138	0.0367947
0.430374	0.171397
0.431611	-0.0418343
0.432848	0.0210388
0.434085	0.419084
0.435321	0.221229
0.436558	0.115315
0.437795	-0.0551113
0.439032	-0.187777
0.440269	-0.141496
0.441505	0.0107581
0.442742	-0.180045
0.443979	-0.285219
0.445215	-0.196457
0.446452	-0.091579
0.447689	-0.000126169
0.448925	-0.188332
0.450162	0.0259648
0.451399	-0.293668
0.452635	-0.400587
0.453872	-0.192564
0.455108	-0.286565
0.456345	-0.231883
0.457582	-0.0216301
0.458818	0.0603152
0.460055	-0.0304914
0.461291	0.13954
0.462528	0.044756
0.463765	-0.0300799
0.465001	-0.0387963
0.466238	0.116647
0.467474	0.122519
0.468711	0.139193
0.469947	-0.0974204
0.471183	0.0904611
0.47242	-0.0152241
0.473656	-0.0251512
0.474893	0.0397031
0.476129	-0.00640532
0.477366	-0.0372591
0.478602	-0.0433842
0.479839	0.0885379
0.481075	-0.0168709
0.482311	-0.116336
0.483548	-0.0167857
0.484784	0.04134
0.48602	-0.00462793
0.487257	0.0420315
0.488493	-0.00229231
0.489729	-0.0805253
0.490966	-0.0981029
0.492202	0.0119962
0.493438	-0.00390471
0.494675	0.10691
0.495911	-0.104097
0.497147	-0.0501156
0.498383	-0.110606
0.499619	-0.154887
0.500856	-0.196375
0.502092	-0.216945
0.503328	-0.312445
0.504564	-0.188783
0.5058	-0.134942
0.507037	-0.0349905
0.508273	0.393948
0.509509	0.478774
0.510745	0.0127847
0.511981	0.0446953
0.513217	0.0332944
0.514453	0.375974
0.515689	-0.124641
0.516925	-0.0743522
0.518161	0.019701
0.519397	0.135224
0.520633	0.0871675
0.521869	-0.0222582
0.523105	-0.142091
0.524341	-0.184718
0.525577	-0.105248
0.526813	-0.0431394
0.528049	-0.106396
0.529285	0.0161463
0.530521	0.054375
0.531757	-0.0656965
0.532993	-0.0220887
0.534229	-0.0282256
0.535465	-0.0457062
0.5367	-0.107994
0.537936	-0.189522
0.539172	-0.0868497
0.540408	-0.137817
0.541644	-0.0412062
0.542879	-0.0765754
0.544115	-0.0684781
0.545351	0.0609107
0.546587	0.577085
0.547823	-0.0625135
0.549058	-0.391158
0.550294	0.140558
0.55153	0.0911572
0.552766	0.128402
0.554001	-0.0416712
0.555237	-0.017344
0.556473	0.0425935
0.557708	-0.129095
0.558944	-0.0957383
0.560179	0.0212953
0.561415	0.0137391
0.562651	-0.445564
0.563886	0.0208031
0.565122	0.0276406
0.566357	-0.193745
0.567593	-0.185799
0.568828	-0.180903
0.570064	0.00598896
0.571299	0.00502278
0.572535	0.0341944
0.57377	0.0167019
0.575006	0.143575
0.576241	-0.318345
0.577477	-0.0606953
0.578712	-0.0837899
0.579948	-0.159484
0.581183	-0.19141
0.582418	0.354007
0.583654	-0.0830168
0.584889	-0.00178115
0.586124	-0.0379715
0.58736	-0.0879156
0.588595	-0.0864482
0.58983	-0.0783183
0.591066	-0.158548
0.592301	-0.163721
0.593536	-0.542946
0.594771	-0.56058
0.596007	-0.058986
0.597242	0.0925738
0.598477	0.0870741
0.599712	0.128184
0.600947	0.102087
0.602182	0.0699678
0.603418	0.0437382
0.604653	0.174429
0.605888	0.118819
0.607123	0.0559031
0.608358	-0.0322398
0.609593	-0.000443387
0.610828	-0.00883975
0.612063	0.0118874
0.613298	-0.153275
0.614533	-0.14223
0.615768	-0.14972
0.617003	-0.140276
0.618238	-0.0889062
0.619473	0.00574152
0.620708	-0.181193
0.621943	-0.0866866
0.623178	0.0405334
0.624413	-0.0767385
0.625648	-0.0278213
0.626883	0.462751
0.628118	-0.0239521
0.629352	-0.0111382
0.630587	0.118927
0.631822	0.103932
0.633057	-0.472362
0.634292	-0.0792029
0.635527	-0.0249944
0.636761	0.116133
0.637996	0.203603
0.639231	-0.11414
0.640466	-0.132366
0.6417	-0.0921383
0.642935	-0.0417654
0.64417	-0.0900845
0.645404	-0.133584
0.646639	-0.0252754
0.647873	-0.0670406
0.649108	-0.0395213
0.650343	0.022295
0.651577	0.0194772
0.652812	-0.135045
0.654046	-0.0960491
0.655281	-0.0298751
0.656516	0.130787
0.65775	-0.0958651
0.658985	-0.0160189
0.660219	-0.0468935
0.661454	-0.110437
0.662688	0.0303315
0.663922	-0.0287757
0.665157	-0.136226
0.666391	-0.117202
0.667625	-0.199498
0.66886	-0.122802
0.670094	-0.043686
0.671329	0.0340766
0.672563	0.13571
0.673797	0.167929
0.675032	0.137613
0.676266	0.064595
0.6775	-0.0784841
0.678734	-0.26901
0.679969	-0.0649479
0.681203	-0.0481742
0.682437	-0.120682
0.683671	-0.12063
0.684905	-0.158539
0.68614	-0.167379
0.687374	-0.105267
0.688608	0.0823593
0.689842	0.0515174
0.691076	0.10074
0.69231	0.145997
0.693544	0.12806
0.694778	0.102613
0.696012	0.111978
0.697246	0.114723
0.69848	0.160079
0.699714	0.212597
0.700948	0.336703
0.702182	0.223696
0.703416	0.0778711
0.70465	0.0383074
0.705884	0.103992
0.707118	0.0556548
0.708352	0.0870071
0.709585	-0.10951
0.710819	0.0134545
0.712053	-0.0904171
0.713287	0.0244086
0.714521	-0.463688
0.715754	-0.44081
0.716988	-0.000374489
0.718222	-0.0107186
0.719456	0.0182808
0.720689	0.118332
0.721923	-0.0514842
0.723157	0.0649512
0.72439	0.0325512
0.725624	0.0516017
0.726858	0.129319
0.728091	0.0972479
0.729325	0.0628304
0.730558	0.549637
0.731792	-0.0642264
0.733025	-0.142116
0.734259	-0.0437376
0.735492	-0.0106615
0.736726	-0.0103986
0.737959	0.0146355
0.739193	0.0564823
0.740426	0.0713654
0.74166	0.170653
0.742893	0.23146
0.744126	0.165114
0.74536	0.150889
0.746593	0.0439186
0.747826	0.022518
0.74906	-0.0183564
0.750293	0.120225
0.751526	0.130059
0.752759	0.0230318
0.753993	0.271314
0.755226	0.199525
0.756459	0.117601
0.757692	0.186197
0.758925	0.0867334
0.760159	0.0101627
0.761392	0.0524083
0.762625	0.0212255
0.763858	0.0310349
0.765091	0.0114914
0.766324	0.0715077
0.767557	0.00421887
0.76879	0.192769
0.770023	0.125109
0.771256	0.0372198
0.772489	0.0452382
0.773722	0.228361
0.774955	0.0338554
0.776188	0.082392
0.777421	-0.0343488
0.778654	-0.0094506
0.779887	-0.0233041
0.781119	0.0122763
0.782352	-0.0146331
0.783585	0.0839835
0.784818	0.0806101
0.786051	0.166983
0.787283	0.255486
0.788516	-0.016173
0.789749	0.0882515
0.790982	0.108278
0.792214	0.0223276
0.793447	0.00369953
0.79468	-0.0156237
0.795912	0.00995421
0.797145	-0.101785
0.798377	-0.0271334
0.79961	0.00145543
0.800843	0.0131282
0.802075	0.0902264
0.803308	0.0428527
0.80454	0.0999062
0.805773	0.544876
0.807005	0.183371
0.808238	0.0151938
0.80947	0.212524
0.810702	0.20446
0.811935	0.144725
0.813167	0.142544
0.8144	0.163752
0.815632	0.19035
0.816864	0.106236
0.818096	0.156808
0.819329	0.099598
0.820561	-0.00505303
0.821793	0.0362291
0.823025	-0.0119059
0.824258	0.0737663
0.82549	0.0207089
0.826722	0.0435107
0.827954	-0.00131708
0.829186	0.0672461
0.830418	0.156455
0.83165	0.0663823
0.832882	0.0937811
0.834114	0.0505748
0.835347	0.148065
0.836579	0.0412911
0.837811	0.103216
0.839043	0.0320527
0.840274	0.0378152
0.841506	0.126555
0.842738	0.0143844
0.84397	-0.0130171
0.845202	0.0226476
0.846434	0.0410944
0.847666	0.133263
0.848898	0.137679
0.850129	0.240261
0.851361	0.289335
0.852593	0.107973
0.853825	0.116655
0.855056	0.130373
0.856288	0.0904739
0.85752	0.103328
0.858751	0.0273107
0.859983	0.00190226
0.861215	0.00366601
0.862446	0.177261
0.863678	0.276871
0.864909	0.204898
0.866141	0.219971
0.867372	0.201289
0.868604	0.0756751
0.869835	0.076237
0.871067	0.081637
0.872298	0.0707011
0.87353	0.104454
0.874761	0.135462
0.875993	-0.0289633
0.877224	-0.0476458
0.878455	0.231554
0.879687	0.166126
0.880918	0.0236808
0.882149	0.148044
0.88338	0.236854
0.884612	0.222023
0.885843	0.255672
0.887074	0.205155
0.888305	0.177445
0.889536	0.0815192
0.890767	0.201624
0.891999	0.333365
0.89323	0.180154
0.894461	0.110682
0.895692	-0.00154366
0.896923	0.042463
0.898154	0.311316
0.899385	0.170583
0.900616	0.174361
0.901847	-0.338554
0.903078	0.147591
0.904308	0.131611
0.905539	0.0550476
0.90677	0.0607258
0.908001	0.0240579
0.909232	-0.0251186
0.910463	0.120679
0.911693	0.0198633
0.912924	0.0749627
0.914155	0.0741261
0.915386	0.220289
0.916616	0.162263
0.917847	-0.0278277
0.919078	0.0618615
0.920308	0.0673612
0.921539	0.120534
0.92277	0.12555
0.924	0.298078
0.925231	0.172532
0.926461	0.263223
0.927692	0.232022
0.928922	0.262393
0.930153	0.232602
0.931383	0.202283
0.932614	0.104669
0.933844	0.167569
0.935074	0.175195
0.936305	0.168587
0.937535	0.15644
0.938765	0.183685
0.939996	0.0929237
0.941226	0.138368
0.942456	0.170913
0.943686	0.161031
0.944917	0.176703
0.946147	0.225604
0.947377	0.222451
0.948607	0.16274
0.949837	0.121041
0.951067	0.183477
0.952297	-0.212596
0.953527	0.264576
0.954757	0.08306
0.955987	0.170466
0.957217	0.154184
0.958447	0.203147
0.959677	0.389447
0.960907	0.199293
0.962137	0.235
0.963367	0.242312
0.964597	0.16933
0.965827	-0.0423446
0.967056	0.297436
0.968286	0.198339
0.969516	0.210737
0.970746	0.240911
0.971975	0.285428
0.973205	0.169285
0.974435	0.141859
0.975664	0.127214
0.976894	0.166603
0.978124	0.208118
0.979353	0.247963
0.980583	0.342406
0.981812	0.466093
0.983042	0.35747
0.984271	0.137447
0.985501	0.262807
0.98673	0.326916
0.98796	0.401341
0.989189	0.422905
0.990418	0.452587
0.991648	0.425532
0.992877	0.382196
0.994106	0.357289
0.995336	0.366703
0.996565	0.285021
0.997794	0.415666
0.999023	0.436078
1.00025	0.448232
1.00148	0.480547
1.00271	0.521111
1.00394	0.560312
1.00517	0.520929
1.0064	0.422032
1.00763	0.395645
1.00886	0.417227
1.01008	0.398336
1.01131	0.471475
1.01254	0.549509
1.01377	0.596708
1.015	0.477147
1.01623	0.50341
1.01746	0.340168
1.01869	0.423763
1.01992	0.405645
1.02115	0.302441
1.02237	0.354656
1.0236	0.323174
1.02483	0.434651
1.02606	0.327493
1.02729	0.391628
1.02852	0.514454
1.02975	0.389198
1.03098	0.437619
1.0322	0.459681
1.03343	0.458203
1.03466	0.503978
1.03589	0.467344
1.03712	0.405844
1.03835	0.438208
1.03957	0.397464
1.0408	0.364481
1.04203	0.365879
1.04326	0.322301
1.04449	0.489406
1.04572	0.464949
1.04694	0.443886
1.04817	0.477089
1.0494	0.400115
1.05063	0.483885
1.05186	0.470542
1.05308	0.393299
1.05431	0.415298
1.05554	0.344659
1.05677	0.372825
1.058	0.508846
1.05923	0.43269
1.06045	0.43318
1.06168	0.612612
1.06291	0.483668
1.06414	0.415231
1.06537	0.407648
1.06659	0.430541
1.06782	0.457338
1.06905	0.455493
1.07028	0.574272
1.0715	0.478984
1.07273	0.477265
1.07396	0.416286
1.07519	0.377604
1.07642	0.298494
1.07764	0.516467
1.07887	0.620701
1.0801	0.495383
1.08133	0.551455
1.08255	0.563944
1.08378	0.557027
1.08501	0.496875
1.08624	0.371712
1.08746	0.397648
1.08869	0.421502
1.08992	0.352059
1.09115	0.433081
1.09237	0.451483
1.0936	0.525826
1.09483	0.516784
1.09606	0.536418
1.09728	0.416219
1.09851	0.446729
1.09974	0.453219
1.10097	0.418246
1.10219	0.316549
1.10342	0.465771
1.10465	0.557508
1.10587	0.877053
1.1071	0.507117
1.10833	0.425153
1.10955	0.363153
1.11078	0.416253
1.11201	0.442135
1.11324	0.450136
1.11446	0.49599
1.11569	0.474291
1.11692	0.729943
1.11814	0.43258
1.11937	0.453026
1.1206	0.523616
1.12182	0.451945
1.12305	0.46328
1.12428	0.439079
1.1255	0.557915
1.12673	0.499651
1.12796	0.453495
1.12918	0.375723
1.13041	0.411786
1.13164	0.402687
1.13286	0.47096
1.13409	0.492333
1.13532	0.515951
1.13654	0.400669
1.13777	0.443806
1.139	0.45666
1.14022	0.38436
1.14145	0.414815
1.14267	0.528095
1.1439	0.413006
1.14513	0.358224
1.14635	0.239569
1.14758	0.321267
1.14881	0.286898
1.15003	0.314664
1.15126	0.421925
1.15248	0.413632
1.15371	0.355304
1.15494	0.364032
1.15616	0.376958
1.15739	0.227344
1.15861	0.317933
1.15984	0.325704
1.16107	0.313469
1.16229	0.39684
1.16352	0.365606
1.16474	0.282941
1.16597	0.318023
1.1672	0.409603
1.16842	0.294641
1.16965	0.31404
1.17087	0.445791
1.1721	0.367176
1.17332	0.345359
1.17455	0.374295
1.17578	0.33911
1.177	0.381057
1.17823	0.401422
1.17945	0.421357
1.18068	0.455847
1.1819	0.404085
1.18313	0.410684
1.18435	0.378067
1.18558	0.349355
1.1868	0.440315
1.18803	0.434547
1.18926	0.33326
1.19048	0.336359
1.19171	0.261369
1.19293	0.331403
1.19416	0.349047
1.19538	0.390072
1.19661	0.421847
1.19783	0.360668
1.19906	0.308148
1.20028	0.270185
1.20151	0.271221
1.20273	0.308066
1.20396	0.429439
1.20518	0.467753
1.20641	0.398429
1.20763	0.403596
1.20886	0.321086
1.21008	0.279321
1.21131	0.272093
1.21253	0.309785
1.21375	0.261239
1.21498	0.30475
1.2162	0.304267
1.21743	0.28122
1.21865	0.320636
1.21988	0.236649
1.2211	0.346317
1.22233	0.321851
1.22355	0.346027
1.22478	0.303482
1.226	0.166132
1.22723	0.183247
1.22845	0.146468
1.22967	0.177648
1.2309	0.16583
1.23212	0.235526
1.23335	0.231693
1.23457	0.124149
1.2358	0.0791608
1.23702	0.125888
1.23824	0.221479
1.23947	0.327292
1.24069	0.3441
1.24192	0.182341
1.24314	0.26174
1.24436	-0.274207
