MATERIAL INFORMATION
	Material = 25% iodine on King Arthur parchment
	Thickness = 0.006 mm
SAXS INSTRUMENT
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 500 s

===============================================================
q (A^-1)	I(q)
===============================================================
0.00203935	12.5117
0.00327789	4.42897
0.00451643	5.1925
0.00575497	3.76349
0.00699351	0.508879
0.00823205	-2.82502
0.00947059	-5.95476
0.0107091	-6.62458
0.0119477	-6.442
0.0131862	-4.67523
0.0144248	-2.50105
0.0156633	-1.08293
0.0169018	-0.0782892
0.0181404	-0.0982302
0.0193789	-0.252435
0.0206174	-0.379302
0.021856	0.0720524
0.0230945	-0.954441
0.0243331	-1.19181
0.0255716	-1.85172
0.0268101	-1.41982
0.0280487	-0.413984
0.0292872	-0.308208
0.0305257	-2.58208
0.0317643	-5.28706
0.0330028	-6.47906
0.0342413	-5.84781
0.0354799	-3.08619
0.0367184	-0.301561
0.0379569	0.392276
0.0391954	0.199513
0.040434	0.306305
0.0416725	0.441976
0.042911	0.328639
0.0441495	0.156331
0.045388	0.300739
0.0466266	0.234977
0.0478651	0.44987
0.0491036	0.345005
0.0503421	0.294121
0.0515806	0.539554
0.0528192	0.913751
0.0540577	0.701971
0.0552962	0.816132
0.0565347	0.757656
0.0577732	1.53789
0.0590117	1.44202
0.0602502	1.4956
0.0614887	1.31709
0.0627272	1.56693
0.0639657	1.5576
0.0652042	1.25897
0.0664427	1.59639
0.0676812	1.49772
0.0689197	1.51939
0.0701582	1.12155
0.0713967	1.48977
0.0726352	1.03022
0.0738737	1.57794
0.0751122	1.62006
0.0763507	1.2417
0.0775892	1.13246
0.0788277	0.991933
0.0800662	0.908589
0.0813046	0.720042
0.0825431	1.17398
0.0837816	1.30084
0.0850201	1.34542
0.0862585	1.20371
0.087497	0.659792
0.0887355	0.919122
0.0899739	1.01368
0.0912124	1.06826
0.0924509	1.18574
0.0936893	1.31148
0.0949278	1.1005
0.0961662	0.895264
0.0974047	0.867541
0.0986431	0.784672
0.0998816	1.02946
0.10112	1.08078
0.102358	0.804997
0.103597	0.875432
0.104835	1.19827
0.106074	0.956249
0.107312	0.906259
0.108551	0.905806
0.109789	0.931834
0.111027	0.91454
0.112266	0.633999
0.113504	0.289248
0.114743	0.663306
0.115981	0.605851
0.11722	0.629713
0.118458	0.622178
0.119696	0.414371
0.120935	0.40658
0.122173	0.534078
0.123412	0.516763
0.12465	0.497887
0.125888	0.407099
0.127127	0.409122
0.128365	0.401227
0.129604	0.544965
0.130842	0.537339
0.13208	0.512371
0.133319	0.587945
0.134557	0.586455
0.135796	0.801166
0.137034	1.06229
0.138272	0.576706
0.139511	0.703298
0.140749	0.411692
0.141987	0.390947
0.143226	0.513685
0.144464	0.5101
0.145702	0.544302
0.146941	0.652873
0.148179	0.675902
0.149417	0.619713
0.150656	0.732258
0.151894	0.568812
0.153132	0.528119
0.154371	0.438647
0.155609	0.602728
0.156847	0.597929
0.158086	0.57252
0.159324	0.548903
0.160562	0.497313
0.1618	0.384124
0.163039	0.286963
0.164277	0.314443
0.165515	0.34941
0.166754	0.350467
0.167992	0.32842
0.16923	0.547839
0.170469	0.295197
0.171707	0.28242
0.172945	0.502183
0.174183	0.224769
0.175422	0.413208
0.17666	0.35288
0.177898	-0.194341
0.179136	0.306977
0.180374	0.378313
0.181613	0.374386
0.182851	0.385223
0.184089	0.334279
0.185327	0.320643
0.186566	0.755907
0.187804	0.222654
0.189042	0.129492
0.19028	0.0555742
0.191518	0.000332535
0.192757	-0.0915971
0.193995	0.0408987
0.195233	0.266256
0.196471	-0.198892
0.197709	0.310736
0.198948	0.128601
0.200186	0.317626
0.201424	0.340207
0.202662	0.295464
0.2039	0.38036
0.205138	0.387792
0.206377	-0.127108
0.207615	0.218299
0.208853	0.218462
0.210091	0.244321
0.211329	0.142475
0.212567	0.398052
0.213805	0.342901
0.215043	0.38717
0.216282	0.0768235
0.21752	-0.11162
0.218758	0.190052
0.219996	0.271973
0.221234	0.252789
0.222472	0.628435
0.22371	0.434587
0.224948	0.605225
0.226186	0.326477
0.227424	0.0172059
0.228662	0.170915
0.2299	0.00252499
0.231138	0.089544
0.232376	0.231649
0.233615	0.0658213
0.234852	0.152834
0.236091	-0.0769832
0.237329	-0.0571079
0.238567	0.0359374
0.239805	0.177679
0.241043	-0.0160732
0.242281	-0.121584
0.243519	0.0391784
0.244757	0.0109241
0.245995	0.427172
0.247233	0.453954
0.24847	0.10032
0.249709	0.428661
0.250946	0.373102
0.252184	0.191263
0.253422	0.232814
0.25466	0.0420262
0.255898	0.318825
0.257136	0.351331
0.258374	0.181258
0.259612	0.104244
0.26085	0.133204
0.262088	0.0984878
0.263326	0.326083
0.264564	0.182094
0.265801	-0.0128766
0.267039	-0.0987844
0.268277	0.224104
0.269515	0.274785
0.270753	0.436976
0.271991	0.312905
0.273229	-0.0029557
0.274467	-0.0161385
0.275704	0.0623428
0.276942	0.269959
0.27818	0.00353736
0.279418	0.103969
0.280656	0.160078
0.281893	0.0953165
0.283131	0.12196
0.284369	0.148695
0.285607	0.14835
0.286845	0.332235
0.288082	0.140916
0.28932	0.258963
0.290558	0.335198
0.291796	0.152256
0.293033	0.0815482
0.294271	0.102275
0.295509	0.233576
0.296746	0.203876
0.297984	0.22611
0.299222	0.194955
0.30046	0.132895
0.301697	-0.00885058
0.302935	0.229327
0.304173	0.0891978
0.30541	0.0579941
0.306648	0.0804298
0.307886	-0.0311485
0.309123	-0.0685587
0.310361	-0.225249
0.311599	-0.187697
0.312836	-0.128707
0.314074	0.0715793
0.315312	0.139762
0.316549	0.0450379
0.317787	0.00772375
0.319024	0.121309
0.320262	0.108817
0.321499	0.0880267
0.322737	0.0975253
0.323975	0.151444
0.325212	0.0934721
0.32645	0.00224851
0.327687	0.0623736
0.328925	0.00630353
0.330162	-0.0356874
0.3314	0.116922
0.332637	-0.384768
0.333875	0.416044
0.335112	0.16276
0.33635	0.16267
0.337587	0.132061
0.338825	0.10063
0.340062	0.0789787
0.3413	0.187725
0.342537	-0.079714
0.343775	0.112693
0.345012	0.0876288
0.346249	0.182217
0.347487	0.0735216
0.348724	-0.082647
0.349962	-0.0618291
0.351199	-0.0435663
0.352436	0.0418249
0.353674	0.337047
0.354911	0.138246
0.356149	0.273143
0.357386	0.197442
0.358623	0.169595
0.359861	0.0512301
0.361098	0.109963
0.362335	0.0798279
0.363573	0.105976
0.36481	0.0864841
0.366047	0.157457
0.367285	0.0789398
0.368522	0.350828
0.369759	-0.108119
0.370996	-0.0714754
0.372234	-0.0540491
0.373471	0.0223875
0.374708	0.0877014
0.375945	0.127661
0.377183	0.119588
0.37842	0.11128
0.379657	0.113907
0.380894	0.11237
0.382131	0.0749056
0.383369	-0.0459301
0.384606	0.176898
0.385843	0.225852
0.38708	0.0469838
0.388317	0.222388
0.389554	0.235813
0.390791	0.078376
0.392028	0.0784657
0.393265	-0.0140412
0.394503	0.00213518
0.39574	0.186176
0.396977	0.0163476
0.398214	0.0500074
0.399451	-0.102781
0.400688	-0.0711971
0.401925	-0.27415
0.403162	-0.0468944
0.404399	0.0753977
0.405636	-0.0538642
0.406873	0.0884355
0.40811	-0.0317603
0.409347	0.00917204
0.410584	-0.135369
0.411821	-0.0484008
0.413058	-0.115424
0.414295	0.0756089
0.415532	0.11887
0.416769	0.0072089
0.418006	-0.0667633
0.419243	0.0102415
0.42048	0.264969
0.421716	0.140334
0.422953	0.252613
0.42419	0.0361177
0.425427	0.019818
0.426664	-0.021011
0.427901	0.0224609
0.429138	-0.0724234
0.430374	-0.0423636
0.431611	-0.0337832
0.432848	0.0818155
0.434085	0.120781
0.435321	0.303823
0.436558	0.0770038
0.437795	0.199296
0.439032	-0.0324573
0.440269	-0.0425385
0.441505	-0.00664457
0.442742	0.0216361
0.443979	-0.168989
0.445215	0.00977022
0.446452	0.0210143
0.447689	0.117012
0.448925	-0.0111953
0.450162	0.137649
0.451399	-0.191075
0.452635	-0.340719
0.453872	0.0882062
0.455108	-0.0794295
0.456345	0.00161584
0.457582	0.0373285
0.458818	0.212907
0.460055	0.00483157
0.461291	0.209407
0.462528	0.0409893
0.463765	-0.0638458
0.465001	0.072888
0.466238	0.158334
0.467474	0.0423905
0.468711	0.023611
0.469947	-0.116641
0.471183	-0.0314839
0.47242	-0.0271724
0.473656	0.185621
0.474893	0.218658
0.476129	0.15255
0.477366	0.119878
0.478602	0.17557
0.479839	0.164769
0.481075	0.128449
0.482311	0.060801
0.483548	0.0258098
0.484784	0.0821173
0.48602	0.0106956
0.487257	0.012811
0.488493	-0.00424094
0.489729	-0.145199
0.490966	-0.103688
0.492202	0.0491373
0.493438	0.0150551
0.494675	0.0249642
0.495911	-0.0287757
0.497147	0.0315696
0.498383	-0.0161938
0.499619	-0.0613842
0.500856	-0.102872
0.502092	-0.124352
0.503328	-0.142581
0.504564	-0.11437
0.5058	-0.0659839
0.507037	0.0121503
0.508273	0.0247376
0.509509	0.0132026
0.510745	0.024472
0.511981	-0.0136153
0.513217	-0.105923
0.514453	0.372207
0.515689	-0.0720455
0.516925	-0.133572
0.518161	0.011389
0.519397	0.14782
0.520633	0.0679467
0.521869	0.0357914
0.523105	0.0195914
0.524341	0.0106004
0.525577	0.0746156
0.526813	0.0530908
0.528049	0.105285
0.529285	0.139648
0.530521	0.156969
0.531757	0.0414424
0.532993	0.081414
0.534229	0.0607322
0.535465	0.0350699
0.5367	-0.113579
0.537936	-0.1442
0.539172	-0.0742533
0.540408	-0.117948
0.541644	-0.0986077
0.542879	-0.0167077
0.544115	0.011389
0.545351	0.0998699
0.546587	0.620589
0.547823	0.0282624
0.549058	0.195966
0.550294	0.129518
0.55153	0.0901177
0.552766	-0.0180881
0.554001	-0.00362102
0.555237	-0.149289
0.556473	-0.0484434
0.557708	-0.0219564
0.558944	0.0941255
0.560179	0.0511639
0.561415	0.0517893
0.562651	0.0651986
0.563886	-0.0120536
0.565122	-0.135212
0.566357	-0.152968
0.567593	-0.166839
0.568828	-0.104672
0.570064	0.028585
0.571299	-0.0241977
0.572535	-0.110477
0.57377	-0.111607
0.575006	0.0907186
0.576241	-0.455745
0.577477	-0.0308268
0.578712	-0.0721026
0.579948	0.0694693
0.581183	-0.112452
0.582418	0.423874
0.583654	-0.0595117
0.584889	-0.00736603
0.586124	-0.0335567
0.58736	-0.0671377
0.588595	-0.0756699
0.58983	-0.0702672
0.591066	-0.0741355
0.592301	-0.0920358
0.593536	-0.408535
0.594771	-0.495258
0.596007	-0.00729986
0.597242	0.0597171
0.598477	0.0605808
0.599712	0.113509
0.600947	0.177409
0.602182	0.0780189
0.603418	0.102697
0.604653	0.181571
0.605888	0.152324
0.607123	0.0857717
0.608358	-0.0605512
0.609593	0.0330615
0.610828	0.0246651
0.612063	0.0517557
0.613298	-0.0879527
0.614533	-0.091453
0.615768	-0.0853071
0.617003	-0.0958624
0.618238	-0.0908548
0.619473	0.120153
0.620708	0.0213977
0.621943	0.0659056
0.623178	0.238579
0.624413	0.0331276
0.625648	0.15477
0.626883	0.117177
0.628118	0.122277
0.629352	0.101455
0.630587	0.146068
0.631822	0.141073
0.633057	0.00749259
0.634292	-0.045698
0.635527	-0.0460334
0.636761	0.103276
0.637996	0.0352956
0.639231	-0.038818
0.640466	-0.000682643
0.6417	-0.0304524
0.642935	0.0590101
0.64417	0.211594
0.645404	0.110824
0.646639	0.615484
0.647873	-0.0526261
0.649108	0.0512545
0.650343	0.0630723
0.651577	0.0775267
0.652812	0.0257282
0.654046	0.10836
0.655281	0.156352
0.656516	0.155201
0.65775	-0.0459971
0.658985	0.0202131
0.660219	0.082063
0.661454	-0.0860231
0.662688	-0.0143431
0.663922	0.104726
0.665157	-0.00363369
0.666391	0.0117542
0.667625	-0.0323612
0.66886	-0.0120264
0.670094	-0.00290862
0.671329	0.0221282
0.672563	0.0773998
0.673797	0.128709
0.675032	0.1493
0.676266	0.0808276
0.6775	-0.0177074
0.678734	-0.145507
0.679969	0.0349186
0.681203	0.0571467
0.682437	-0.0180881
0.683671	-0.0662168
0.684905	-0.0923077
0.68614	-0.0775126
0.687374	-0.0708527
0.688608	0.154045
0.689842	0.13593
0.691076	0.0178847
0.69231	0.0713228
0.693544	0.0742947
