MATERIAL INFORMATION	
	Material = Whewellite (powder)
SAXS INSTRUMENT	
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 500 s

===============================================================	
q (A^-1)	I(q)
===============================================================
0.331901	0.00083376
0.333128	0.0010422
0.334355	0.00142344
0.335581	0.00164376
0.336808	6.696e-05
0.338034	0.00220968
0.339261	0.00053568
0.340487	0.0005076
0.341713	0.0035424
0.34294	0.00154116
0.344166	-0.000135
0.345393	0.00119016
0.346619	0.00232308
0.347846	0.00200124
0.349072	0.00406512
0.350298	0.00259524
0.351525	-0.00202932
0.352751	0.00269568
0.353978	0.00239652
0.355204	0.002781
0.35643	0.00148824
0.357657	0.0019494
0.358883	0.0047142
0.36011	0.0032022
0.361336	0.00245268
0.362562	0.00086184
0.363789	0.00271404
0.365015	0.00202284
0.366241	0.00087912
0.367468	-2.268e-05
0.368694	0.00212868
0.36992	0.0012258
0.371146	0.00231552
0.372373	0.0010638
0.373599	0.0010908
0.374825	0.00127116
0.376051	0.00148284
0.377278	0.00137484
0.378504	0.0005832
0.37973	-0.00014688
0.380956	-7.992e-05
0.382182	-0.000675
0.383409	-0.00084996
0.384635	0.00081756
0.385861	7.56e-05
0.387087	-0.00223128
0.388313	-0.00014472
0.38954	-0.0024084
0.390766	-0.0017982
0.391992	-0.00803412
0.393218	-0.00255096
0.394444	-0.00184248
0.39567	-0.0015282
0.396896	0.00220212
0.398122	0.00217728
0.399348	0.0033372
0.400574	0.0025056
0.4018	0.00314496
0.403027	0.00208116
0.404253	0.00208872
0.405479	0.00135432
0.406705	0.00511488
0.407931	0.00306396
0.409157	0.00084348
0.410383	0.00135864
0.411609	0.00186192
0.412835	0.0018144
0.414061	0.00031752
0.415287	0.00037476
0.416512	0.00359424
0.417738	0.00339876
0.418964	0.00343764
0.42019	0.00352728
0.421416	0.0029214
0.422642	0.00219564
0.423868	-0.00155952
0.425094	0.00057456
0.42632	0.00100764
0.427546	0.00167184
0.428771	0.00231444
0.429997	0.00289548
0.431223	0.00279288
0.432449	0.0013338
0.433675	4.428e-05
0.434901	0.0027648
0.436126	-0.00124092
0.437352	0.0005346
0.438578	-0.00188568
0.439804	0.00308772
0.441029	0.0027648
0.442255	0.00647028
0.443481	0.0027054
0.444707	0.00386856
0.445932	0.00282096
0.447158	0.00210924
0.448384	0.00231336
0.449609	0.00105084
0.450835	-9.828e-05
0.452061	-5.184e-05
0.453286	0.00060372
0.454512	0.00086832
0.455738	0.00280152
0.456963	0.00111888
0.458189	0.00179388
0.459415	0.00059184
0.46064	0.00010476
0.461866	0.00073764
0.463091	-9.18e-05
0.464317	-0.00016308
0.465542	-0.0004968
0.466768	-0.00014148
0.467993	0.00367416
0.469219	0.00175824
0.470444	0.00286956
0.47167	0.0032022
0.472895	0.00164808
0.474121	0.00265032
0.475346	0.00211464
0.476572	0.00058752
0.477797	-0.0005994
0.479023	-5.832e-05
0.480248	-0.00194616
0.481474	0.00074628
0.482699	0.00240624
0.483924	-0.00105192
0.48515	0.00079704
0.486375	0.00180576
0.4876	0.00187596
0.488826	0.0011124
0.490051	0.00176256
0.491276	0.00109728
0.492502	0.00091584
0.493727	0.000972
0.494952	-0.00041796
0.496178	0.00065664
0.497403	0.00250344
0.498628	0.00348624
0.499853	0.00420336
0.501078	0.00306936
0.502304	0.00269244
0.503529	-0.00013284
0.504754	0.00017388
0.505979	0.00018792
0.507205	-0.00061236
0.50843	-0.00070848
0.509655	-0.0005292
0.51088	0.0003942
0.512105	-0.00016632
0.51333	0.00027108
0.514555	0.00047952
0.51578	0.00307476
0.517006	0.00337392
0.518231	0.00218376
0.519456	0.00209196
0.520681	0.00011124
0.521906	-0.00110808
0.523131	-0.00051192
0.524356	0.00101196
0.525581	0.00120096
0.526806	0.0006102
0.528031	0.0014094
0.529256	0.00070956
0.530481	0.00048276
0.531705	-0.00071172
0.53293	0.00046116
0.534155	-0.00020304
0.53538	0.00130032
0.536605	0.00233172
0.53783	0.0033156
0.539055	0.00330264
0.54028	0.0028566
0.541505	0.0010422
0.542729	0.00241488
0.543954	-0.00069336
0.545179	0.00195588
0.546404	-0.00101304
0.547629	0.00078192
0.548853	-0.00020412
0.550078	-0.00088344
0.551303	-0.00084024
0.552528	-0.0056322
0.553752	0.00142776
0.554977	0.00060264
0.556202	-0.00046872
0.557426	0.00607284
0.558651	-0.0002322
0.559876	0.00019764
0.5611	-0.00052056
0.562325	-0.00020196
0.56355	0.00088668
0.564774	1.404e-05
0.565999	0.00141372
0.567223	-0.00209088
0.568448	0.00016092
0.569673	-0.00033804
0.570897	0.00937224
0.572122	-1.512e-05
0.573346	0.0026136
0.574571	0.00103248
0.575795	-0.00625752
0.57702	0.00035532
0.578244	-0.00187812
0.579469	-0.00080352
0.580693	-0.00039744
0.581917	-0.00071388
0.583142	-0.00101952
0.584366	-0.00081972
0.585591	-4.428e-05
0.586815	-0.00083808
0.588039	0.00053568
0.589264	-0.00037476
0.590488	-0.00017712
0.591712	0.0009288
0.592936	0.00029484
0.594161	-0.00049032
0.595385	-0.00118044
0.596609	-0.00097308
0.597834	-0.00154872
0.599058	-0.00158004
0.600282	0.00179172
0.601506	0.00090612
0.60273	0.00090936
0.603955	0.00070524
0.605179	0.00183708
0.606403	0.00133056
0.607627	-0.0001242
0.608851	5.076e-05
0.610075	-0.00062748
0.611299	0.00055944
0.612524	-0.0006156
0.613748	-0.00048816
0.614972	-0.00106596
0.616196	0.00100332
0.61742	-0.0009288
0.618644	-0.00084672
0.619868	-0.0011178
0.621092	-0.00075924
0.622316	-0.00028404
0.62354	-0.00088452
0.624764	-0.00010152
0.625988	-0.0017604
0.627211	-0.00107676
0.628435	-0.0022194
0.629659	-0.00176364
0.630883	-0.00063828
0.632107	-0.00221616
0.633331	-0.0012636
0.634555	0.00029268
0.635778	-0.00031212
0.637002	-0.00097848
0.638226	-0.0010422
0.63945	-0.00033156
0.640674	-0.0026028
0.641897	-0.00104652
0.643121	-0.00222912
0.644345	-0.00021708
0.645568	-0.00084564
0.646792	0.00065016
0.648016	-0.00063612
0.649239	-0.00123876
0.650463	0.00048708
0.651687	-0.00030456
0.65291	-0.0004482
0.654134	-0.00189216
0.655357	-0.00099144
0.656581	0.00012744
0.657805	0.00064584
0.659028	0.0007614
0.660252	-0.00133488
0.661475	0.00023112
0.662699	0.00015336
0.663922	-0.00021924
0.665146	7.776e-05
0.666369	-0.00053352
0.667592	-0.00071496
0.668816	6.804e-05
0.670039	-0.00187164
0.671263	-0.0017226
0.672486	-0.00346464
0.673709	-0.00084996
0.674933	-0.00108756
0.676156	-0.00094284
0.677379	0.0010746
0.678603	-0.00171288
0.679826	6.264e-05
0.681049	0.00017928
0.682272	0.00156168
0.683496	0.00138672
0.684719	0.00136728
0.685942	5.4e-05
0.687165	0.00175068
0.688388	0.001566
0.689612	7.02e-05
0.690835	0.00034668
0.692058	-0.00575424
