MATERIAL INFORMATION	
	Material = Flx9095
	Thickness = 1 mm
SAXS INSTRUMENT	
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 60 s

===============================================================	
q (A^-1)	I(q)
===============================================================
0.349137	0.140678
0.350364	0.14834
0.351591	0.141748
0.352818	0.138716
0.354045	0.141655
0.355272	0.137097
0.356498	0.136491
0.357725	0.140219
0.358952	0.136874
0.360179	0.137388
0.361406	0.14323
0.362633	0.142877
0.363859	0.146207
0.365086	0.149161
0.366313	0.145542
0.36754	0.14861
0.368767	0.151397
0.369993	0.145389
0.37122	0.149043
0.372447	0.143911
0.373673	0.144434
0.3749	0.145136
0.376127	0.145287
0.377354	0.14579
0.37858	0.147726
0.379807	0.143007
0.381034	0.148208
0.38226	0.153701
0.383487	0.148687
0.384714	0.147126
0.38594	0.143699
0.387167	0.143617
0.388394	0.143049
0.38962	0.138161
0.390847	0.13978
0.392073	0.140779
0.3933	0.147777
0.394527	0.147055
0.395753	0.147517
0.39698	0.146205
0.398206	0.145649
0.399433	0.148789
0.400659	0.143621
0.401886	0.144738
0.403112	0.143144
0.404339	0.148162
0.405565	0.140211
0.406792	0.143224
0.408018	0.141402
0.409245	0.133182
0.410471	0.140861
0.411698	0.14466
0.412924	0.142312
0.414151	0.145842
0.415377	0.143341
0.416604	0.140757
0.41783	0.141443
0.419056	0.143264
0.420283	0.147905
0.421509	0.143933
0.422736	0.14285
0.423962	0.142554
0.425188	0.143385
0.426415	0.137086
0.427641	0.143832
0.428867	0.140243
0.430094	0.137267
0.43132	0.138482
0.432546	0.136788
0.433773	0.132268
0.434999	0.129903
0.436225	0.132335
0.437451	0.140874
0.438678	0.13583
0.439904	0.137019
0.44113	0.139506
0.442356	0.138296
0.443582	0.14035
0.444809	0.129224
0.446035	0.141616
0.447261	0.139243
0.448487	0.140243
0.449713	0.141569
0.450939	0.143277
0.452166	0.137558
0.453392	0.132795
0.454618	0.133398
0.455844	0.135925
0.45707	0.139205
0.458296	0.141606
0.459522	0.133763
0.460748	0.135892
0.461974	0.134894
0.4632	0.136202
0.464426	0.13475
0.465652	0.135306
0.466878	0.130508
0.468104	0.131198
0.46933	0.127778
0.470556	0.136136
0.471782	0.136357
0.473008	0.122394
0.474234	0.128723
0.47546	0.126447
0.476686	0.128025
0.477912	0.128474
0.479138	0.125643
0.480364	0.126566
0.48159	0.124979
0.482815	0.129352
0.484041	0.126285
0.485267	0.123439
0.486493	0.119276
0.487719	0.125999
0.488945	0.124223
0.49017	0.121369
0.491396	0.123537
0.492622	0.11893
0.493848	0.120751
0.495074	0.129391
0.496299	0.124774
0.497525	0.125524
0.498751	0.12226
0.499976	0.120075
0.501202	0.116207
0.502428	0.116077
0.503654	0.114721
0.504879	0.114171
0.506105	0.116083
0.507331	0.11503
0.508556	0.112954
0.509782	0.12177
0.511007	0.119899
0.512233	0.122601
0.513459	0.127767
0.514684	0.11734
0.51591	0.116021
0.517135	0.121301
0.518361	0.116696
0.519586	0.114823
0.520812	0.128202
0.522037	0.12122
0.523263	0.119786
0.524488	0.117506
0.525714	0.122276
0.526939	0.122553
0.528165	0.119552
0.52939	0.121826
0.530616	0.120433
0.531841	0.116874
0.533066	0.122238
0.534292	0.121413
0.535517	0.120296
0.536743	0.116351
0.537968	0.109415
0.539193	0.110281
0.540419	0.114355
0.541644	0.113888
0.542869	0.115476
0.544094	0.11207
0.54532	0.109213
0.546545	0.106505
0.54777	0.113201
0.548995	0.109892
0.550221	0.11633
0.551446	0.118909
0.552671	0.108335
0.553896	0.114755
0.555121	0.113157
0.556347	0.11321
0.557572	0.109748
0.558797	0.108946
0.560022	0.104727
0.561247	0.105097
0.562472	0.113851
0.563697	0.113347
0.564922	0.114753
0.566147	0.113273
0.567373	0.109319
0.568597	0.106726
0.569823	0.106081
0.571047	0.111002
0.572272	0.103768
0.573497	0.112627
0.574723	0.111712
0.575947	0.112556
0.577172	0.104654
0.578397	0.106283
0.579622	0.107426
0.580847	0.104887
0.582072	0.107259
0.583297	0.101402
0.584522	0.0986263
0.585747	0.103053
0.586971	0.102544
0.588196	0.104301
0.589421	0.102623
0.590646	0.106535
0.591871	0.104734
0.593095	0.108505
0.59432	0.103498
0.595545	0.106092
0.59677	0.112815
0.597994	0.110136
0.599219	0.109361
0.600444	0.112007
0.601668	0.105609
0.602893	0.104177
0.604118	0.110008
0.605342	0.116183
0.606567	0.105355
0.607792	0.114315
0.609016	0.102162
0.610241	0.100846
0.611465	0.10085
0.61269	0.0993579
0.613915	0.103016
0.615139	0.107703
0.616364	0.103636
0.617588	0.104866
0.618812	0.1121
0.620037	0.106932
0.621261	0.10744
0.622486	0.106472
0.62371	0.1041
0.624935	0.099929
0.626159	0.102449
0.627383	0.096424
0.628608	0.0947629
0.629832	0.0915553
0.631057	0.0996877
0.632281	0.105099
0.633505	0.104131
0.634729	0.102335
0.635954	0.105865
0.637178	0.0961222
0.638402	0.106241
0.639626	0.106329
0.640851	0.107618
0.642075	0.105752
0.643299	0.103254
0.644523	0.106239
0.645747	0.104615
0.646972	0.102251
0.648196	0.103792
0.64942	0.103777
0.650644	0.103319
0.651868	0.10296
0.653092	0.105965
0.654316	0.105574
0.65554	0.0990508
0.656764	0.101171
0.657988	0.102242
0.659212	0.102059
0.660436	0.100876
0.66166	0.109781
0.662884	0.0991124
0.664108	0.0997366
0.665332	0.107075
0.666556	0.0943384
0.66778	0.0957114
0.669004	0.101711
0.670228	0.1024
0.671452	0.101621
0.672675	0.10076
0.673899	0.105401
0.675123	0.111519
0.676347	0.104333
0.677571	0.105336
0.678794	0.108829
0.680018	0.102209
0.681242	0.104661
0.682466	0.105927
0.683689	0.100803
0.684913	0.0968203
0.686137	0.106083
0.68736	0.102544
0.688584	0.10062
0.689808	0.101958
0.691031	0.107165
0.692255	0.101739
0.693478	0.103842
0.694702	0.0986245
0.695925	0.101457
0.697149	0.0996664
0.698372	0.0932183
0.699596	0.106017
0.700819	0.107714
0.702043	0.101215
0.703266	0.108321
0.70449	0.10138
0.705713	0.102372
0.706937	0.103099
0.70816	0.102453
0.709383	0.106818
0.710607	0.102656
0.71183	0.105179
0.713053	0.110467
0.714277	0.105696
0.7155	0.101359
0.716723	0.100308
0.717947	0.101525
0.71917	0.105315
0.720393	0.106097
0.721616	0.0970396
0.722839	0.104005
0.724062	0.105218
0.725286	0.108089
0.726509	0.107065
0.727732	0.108577
0.728955	0.107683
0.730178	0.112507
0.731401	0.103374
0.732624	0.0997501
0.733847	0.106134
0.73507	0.104796
0.736293	0.107269
0.737516	0.107146
0.738739	0.106136
0.739962	0.104505
0.741185	0.109591
0.742408	0.10531
0.743631	0.100073
0.744854	0.107086
0.746077	0.105063
0.7473	0.104039
0.748522	0.10424
0.749745	0.105369
0.750968	0.107432
0.752191	0.106339
0.753414	0.1124
0.754636	0.115262
0.755859	0.115741
0.757082	0.111688
0.758305	0.109078
0.759527	0.114557
0.76075	0.10794
0.761973	0.113835
0.763195	0.111883
0.764418	0.113466
0.76564	0.114766
0.766863	0.11075
0.768086	0.114894
0.769308	0.108782
0.770531	0.105467
0.771753	0.115681
0.772976	0.111276
0.774198	0.112824
0.775421	0.115092
0.776643	0.104805
0.777865	0.11243
0.779088	0.110753
0.78031	0.111174
0.781533	0.114376
0.782755	0.118489
0.783977	0.116977
0.7852	0.123129
0.786422	0.12279
0.787644	0.117927
0.788866	0.11384
0.790089	0.114757
0.791311	0.110093
0.792533	0.113014
0.793755	0.109312
0.794978	0.114189
0.7962	0.11277
0.797422	0.117367
0.798644	0.120507
0.799866	0.109136
0.801088	0.112665
0.80231	0.112615
0.803532	0.117249
0.804754	0.117547
0.805976	0.118646
0.807198	0.118659
0.80842	0.121894
0.809642	0.11872
0.810864	0.118336
0.812086	0.116123
0.813308	0.1172
0.81453	0.11923
0.815752	0.120314
0.816973	0.120361
0.818195	0.123846
0.819417	0.129196
0.820639	0.124123
0.821861	0.124584
0.823082	0.115402
0.824304	0.119043
0.825526	0.118338
0.826748	0.118426
0.827969	0.123424
0.829191	0.125517
0.830413	0.126614
0.831634	0.126849
0.832856	0.128218
0.834077	0.12635
0.835299	0.12399
0.836521	0.128095
0.837742	0.12827
0.838964	0.127693
0.840185	0.124038
0.841407	0.12615
0.842628	0.125303
0.843849	0.127092
0.845071	0.127745
0.846292	0.124853
0.847514	0.124199
0.848735	0.128673
0.849956	0.123476
0.851178	0.122215
0.852399	0.122655
0.85362	0.128899
0.854841	0.128198
0.856063	0.131617
0.857284	0.128353
0.858505	0.129519
0.859726	0.124251
0.860947	0.125803
0.862168	0.129193
0.86339	0.130817
0.864611	0.124181
0.865832	0.123305
0.867053	0.129075
0.868274	0.129113
0.869495	0.128678
0.870716	0.127638
0.871937	0.125016
0.873158	0.130307
0.874379	0.131068
0.8756	0.134808
0.876821	0.134163
0.878042	0.137874
0.879262	0.13235
0.880483	0.13141
0.881704	0.137772
0.882925	0.131017
0.884146	0.130219
0.885366	0.131941
0.886587	0.136629
0.887808	0.130055
0.889029	0.135754
0.890249	0.135633
0.89147	0.13639
0.892691	0.136008
0.893911	0.137883
0.895132	0.130831
0.896352	0.142126
0.897573	0.143512
0.898794	0.141884
0.900014	0.139984
0.901234	0.14163
0.902455	0.141379
0.903675	0.136341
0.904896	0.140728
0.906116	0.138928
0.907337	0.143322
0.908557	0.144836
0.909778	0.145292
0.910998	0.14392
0.912218	0.138533
0.913438	0.140564
0.914659	0.143503
0.915879	0.144373
0.917099	0.144446
0.918319	0.144237
0.91954	0.140327
0.92076	0.14382
0.92198	0.147233
0.9232	0.152131
0.92442	0.153776
0.92564	0.148911
0.92686	0.14815
0.92808	0.144911
0.9293	0.148001
0.93052	0.144269
0.93174	0.146871
0.93296	0.146533
0.93418	0.14818
0.9354	0.150277
0.93662	0.150786
0.93784	0.148578
0.93906	0.148042
0.94028	0.154245
0.941499	0.154039
0.942719	0.156794
0.943939	0.156008
0.945159	0.153555
0.946378	0.152759
0.947598	0.152059
0.948818	0.154695
0.950037	0.158042
0.951257	0.155768
0.952477	0.156983
0.953696	0.155205
0.954916	0.156511
0.956135	0.161383
0.957355	0.160964
0.958574	0.161751
0.959794	0.1633
0.961013	0.165709
0.962233	0.16512
0.963452	0.163398
0.964672	0.167937
0.965891	0.167167
0.96711	0.161225
0.96833	0.170811
0.969549	0.171368
0.970768	0.171007
0.971988	0.176845
0.973207	0.170471
0.974426	0.168759
0.975645	0.172007
0.976864	0.170567
0.978084	0.16898
0.979303	0.172017
0.980522	0.178587
0.981741	0.175112
0.98296	0.184773
0.984179	0.175044
0.985398	0.174797
0.986617	0.173559
0.987836	0.170774
0.989055	0.176768
0.990274	0.177429
0.991493	0.176478
0.992712	0.17277
0.993931	0.176322
0.995149	0.179116
0.996368	0.174941
0.997587	0.179479
0.998806	0.177994
1.00002	0.182008
1.00124	0.177618
1.00246	0.184245
1.00368	0.187282
1.0049	0.183046
1.00612	0.182281
1.00734	0.182876
1.00855	0.185061
1.00977	0.1834
1.01099	0.183116
1.01221	0.187823
1.01343	0.188421
1.01465	0.186353
1.01587	0.189173
1.01709	0.194728
1.0183	0.193387
1.01952	0.189661
1.02074	0.193808
1.02196	0.198699
1.02318	0.19526
1.02439	0.190641
1.02561	0.195903
1.02683	0.200824
1.02805	0.195911
1.02927	0.190296
1.03049	0.193115
1.0317	0.196924
1.03292	0.195974
1.03414	0.196071
1.03536	0.198118
1.03658	0.197546
1.0378	0.20466
1.03901	0.202387
1.04023	0.203897
1.04145	0.203351
1.04267	0.207352
1.04388	0.203951
1.0451	0.204269
1.04632	0.204958
1.04754	0.197663
1.04876	0.200835
1.04997	0.199169
1.05119	0.202003
1.05241	0.203427
1.05363	0.199427
1.05485	0.203658
1.05606	0.207953
1.05728	0.20765
1.0585	0.205315
1.05972	0.208514
1.06093	0.208384
1.06215	0.208205
1.06337	0.209142
1.06458	0.211248
1.0658	0.205336
1.06702	0.208993
1.06824	0.214271
1.06946	0.212728
1.07067	0.210255
1.07189	0.214027
1.07311	0.218389
1.07433	0.216946
1.07554	0.219173
1.07676	0.21973
1.07798	0.216309
1.07919	0.217114
1.08041	0.226991
1.08163	0.22364
1.08285	0.22153
1.08406	0.222184
1.08528	0.229734
1.0865	0.224418
1.08771	0.226941
1.08893	0.223541
1.09015	0.227948
1.09136	0.231353
1.09258	0.231645
1.0938	0.229121
1.09502	0.227918
1.09623	0.230729
1.09745	0.230221
1.09867	0.228597
1.09988	0.229637
