MATERIAL INFORMATION	
	Material = Flx9070
	Thickness = 1 mm
SAXS INSTRUMENT	
	Source = Cu K-alpha
	Wavelength = 1.5418 A 
	Sample-to-detector distance = 106 mm
	Exposure time = 60 s

===============================================================	
q (A^-1)	I(q)
===============================================================
0.00171434	-0.000522614
0.00294236	0.0014758
0.00417038	-0.115449
0.0053984	-0.0450756
0.00662642	0.0885994
0.00785444	0.106261
0.00908246	0.094624
0.0103105	0.0897216
0.0115385	0.0831385
0.0127665	0.0750386
0.0139945	0.0611039
0.0152226	0.0402145
0.0164506	0.0229982
0.0176786	0.0200251
0.0189066	0.0216689
0.0201346	0.0213811
0.0213626	0.0156866
0.0225907	0.0168374
0.0238187	0.0144579
0.0250467	0.00943258
0.0262747	0.0223876
0.0275027	0.0107914
0.0287307	0.000570525
0.0299587	0.00716939
0.0311868	0.0100286
0.0324148	0.0134058
0.0336428	-0.00456231
0.0348708	0.0245871
0.0360988	0.010839
0.0373268	0.00378343
0.0385548	-0.0134073
0.0397828	-0.0275428
0.0410108	-0.0113367
0.0422388	-0.000473757
0.0434668	-0.0130386
0.0446948	0.00142032
0.0459228	-0.00702093
0.0471508	-0.000864929
0.0483788	0.00200535
0.0496068	-0.00672621
0.0508348	-0.0191596
0.0520628	-0.0123858
0.0532908	-0.00409391
0.0545188	0.00712495
0.0557468	-0.00439399
0.0569748	-0.00828712
0.0582028	-0.00227926
0.0594308	0.00919775
0.0606587	0.00758263
0.0618867	0.00056233
0.0631147	0.0175861
0.0643427	0.0155653
0.0655707	0.0297316
0.0667987	0.0163678
0.0680266	0.041938
0.0692546	0.0451273
0.0704826	0.0541665
0.0717106	0.0630005
0.0729385	0.060975
0.0741665	0.0786165
0.0753945	0.086508
0.0766224	0.102038
0.0778504	0.104741
0.0790784	0.0977777
0.0803063	0.0970971
0.0815343	0.109114
0.0827623	0.108164
0.0839902	0.107466
0.0852182	0.125566
0.0864461	0.127847
0.0876741	0.118357
0.088902	0.120654
